"pokemonId","abilityName","isHidden"
"1-n1","しんりょく","false"
"1-n2","しんりょく","false"
"1-n3","しんりょく","false"
"1-n3m","あついしぼう","false"
"1-n4","もうか","false"
"1-n5","もうか","false"
"1-n6","もうか","false"
"1-n6x","かたいツメ","false"
"1-n6y","ひでり","false"
"1-n7","げきりゅう","false"
"1-n8","げきりゅう","false"
"1-n9","げきりゅう","false"
"1-n9m","メガランチャー","false"
"1-n10","りんぷん","false"
"1-n11","だっぴ","false"
"1-n12","ふくがん","false"
"1-n13","りんぷん","false"
"1-n14","だっぴ","false"
"1-n15","むしのしらせ","false"
"1-n15m","てきおうりょく","false"
"1-n16","するどいめ","false"
"1-n16","ちどりあし","false"
"1-n17","するどいめ","false"
"1-n17","ちどりあし","false"
"1-n18","するどいめ","false"
"1-n18","ちどりあし","false"
"1-n18m","ノーガード","false"
"1-n19","にげあし","false"
"1-n19","こんじょう","false"
"1-n19a","くいしんぼう","false"
"1-n19a","はりきり","false"
"1-n20","にげあし","false"
"1-n20","こんじょう","false"
"1-n20a","くいしんぼう","false"
"1-n20a","はりきり","false"
"1-n21","するどいめ","false"
"1-n22","するどいめ","false"
"1-n23","いかく","false"
"1-n23","だっぴ","false"
"1-n24","いかく","false"
"1-n24","だっぴ","false"
"1-n25","せいでんき","false"
"1-n26","せいでんき","false"
"1-n26a","サーフテール","false"
"1-n27","すながくれ","false"
"1-n27a","ゆきがくれ","false"
"1-n28","すながくれ","false"
"1-n28a","ゆきがくれ","false"
"1-n29","どくのトゲ","false"
"1-n29","とうそうしん","false"
"1-n30","どくのトゲ","false"
"1-n30","とうそうしん","false"
"1-n31","どくのトゲ","false"
"1-n31","とうそうしん","false"
"1-n32","どくのトゲ","false"
"1-n32","とうそうしん","false"
"1-n33","どくのトゲ","false"
"1-n33","とうそうしん","false"
"1-n34","どくのトゲ","false"
"1-n34","とうそうしん","false"
"1-n35","メロメロボディ","false"
"1-n35","マジックガード","false"
"1-n36","メロメロボディ","false"
"1-n36","マジックガード","false"
"1-n37","もらいび","false"
"1-n37a","ゆきがくれ","false"
"1-n38","もらいび","false"
"1-n38a","ゆきがくれ","false"
"1-n39","メロメロボディ","false"
"1-n39","かちき","false"
"1-n40","メロメロボディ","false"
"1-n40","かちき","false"
"1-n41","せいしんりょく","false"
"1-n42","せいしんりょく","false"
"1-n43","ようりょくそ","false"
"1-n44","ようりょくそ","false"
"1-n45","ようりょくそ","false"
"1-n46","ほうし","false"
"1-n46","かんそうはだ","false"
"1-n47","ほうし","false"
"1-n47","かんそうはだ","false"
"1-n48","ふくがん","false"
"1-n48","いろめがね","false"
"1-n49","りんぷん","false"
"1-n49","いろめがね","false"
"1-n50","すながくれ","false"
"1-n50","ありじごく","false"
"1-n50a","すながくれ","false"
"1-n50a","カーリーヘアー","false"
"1-n51","すながくれ","false"
"1-n51","ありじごく","false"
"1-n51a","すながくれ","false"
"1-n51a","カーリーヘアー","false"
"1-n52","ものひろい","false"
"1-n52","テクニシャン","false"
"1-n52a","ものひろい","false"
"1-n52a","テクニシャン","false"
"1-n53","じゅうなん","false"
"1-n53","テクニシャン","false"
"1-n53a","ファーコート","false"
"1-n53a","テクニシャン","false"
