"pokemonId","localLanguageId","name","formName"
"1-n1-1","1","フシギダネ",""
"1-n1-2","2","Bulbasaur",""
"1-n2-1","1","フシギソウ",""
"1-n2-2","2","Ivysaur",""
"1-n3-1","1","フシギバナ",""
"1-n3-2","2","Venusaur",""
"1-n3m-1","1","メガフシギバナ","メガフシギバナ"
"1-n3m-2","2","Venusaur","メガフシギバナ"
"1-n4-1","1","ヒトカゲ",""
"1-n4-2","2","Charmander",""
"1-n5-1","1","リザード",""
"1-n5-2","2","Charmeleon",""
"1-n6-1","1","リザードン",""
"1-n6-2","2","Charizard",""
"1-n6x-1","1","メガリザードンX","メガリザードンX"
"1-n6x-2","2","Charizard","メガリザードンX"
"1-n6y-1","1","メガリザードンY","メガリザードンY"
"1-n6y-2","2","Charizard","メガリザードンY"
"1-n7-1","1","ゼニガメ",""
"1-n7-2","2","Squirtle",""
"1-n8-1","1","カメール",""
"1-n8-2","2","Wartortle",""
"1-n9-1","1","カメックス",""
"1-n9-2","2","Blastoise",""
"1-n9m-1","1","メガカメックス","メガカメックス"
"1-n9m-2","2","Blastoise","メガカメックス"
"1-n10-1","1","キャタピー",""
"1-n10-2","2","Caterpie",""
"1-n11-1","1","トランセル",""
"1-n11-2","2","Metapod",""
"1-n12-1","1","バタフリー",""
"1-n12-2","2","Butterfree",""
"1-n13-1","1","ビードル",""
"1-n13-2","2","Weedle",""
"1-n14-1","1","コクーン",""
"1-n14-2","2","Kakuna",""
"1-n15-1","1","スピアー",""
"1-n15-2","2","Beedrill",""
"1-n15m-1","1","メガスピアー","メガスピアー"
"1-n15m-2","2","Beedrill","メガスピアー"
"1-n16-1","1","ポッポ",""
"1-n16-2","2","Pidgey",""
"1-n17-1","1","ピジョン",""
"1-n17-2","2","Pidgeotto",""
"1-n18-1","1","ピジョット",""
"1-n18-2","2","Pidgeot",""
"1-n18m-1","1","メガピジョット","メガピジョット"
"1-n18m-2","2","Pidgeot","メガピジョット"
"1-n19-1","1","コラッタ",""
"1-n19-2","2","Rattata",""
"1-n19a-1","1","コラッタ","アローラのすがた"
"1-n19a-2","2","Rattata","アローラのすがた"
"1-n20-1","1","ラッタ",""
"1-n20-2","2","Raticate",""
"1-n20a-1","1","ラッタ","アローラのすがた"
"1-n20a-2","2","Raticate","アローラのすがた"
"1-n21-1","1","オニスズメ",""
"1-n21-2","2","Spearow",""
"1-n22-1","1","オニドリル",""
"1-n22-2","2","Fearow",""
"1-n23-1","1","アーボ",""
"1-n23-2","2","Ekans",""
"1-n24-1","1","アーボック",""
"1-n24-2","2","Arbok",""
"1-n25-1","1","ピカチュウ",""
"1-n25-2","2","Pikachu",""
"1-n26-1","1","ライチュウ",""
"1-n26-2","2","Raichu",""
"1-n26a-1","1","ライチュウ","アローラのすがた"
"1-n26a-2","2","Raichu","アローラのすがた"
"1-n27-1","1","サンド",""
"1-n27-2","2","Sandshrew",""
"1-n27a-1","1","サンド","アローラのすがた"
"1-n27a-2","2","Sandshrew","アローラのすがた"
"1-n28-1","1","サンドパン",""
"1-n28-2","2","Sandslash",""
"1-n28a-1","1","サンドパン","アローラのすがた"
"1-n28a-2","2","Sandslash","アローラのすがた"
"1-n29-1","1","ニドラン♀",""
"1-n29-2","2","Nidoran♀",""
"1-n30-1","1","ニドリーナ",""
"1-n30-2","2","Nidorina",""
"1-n31-1","1","ニドクイン",""
"1-n31-2","2","Nidoqueen",""
"1-n32-1","1","ニドラン♂",""
"1-n32-2","2","Nidoran♂",""
"1-n33-1","1","ニドリーノ",""
"1-n33-2","2","Nidorino",""
"1-n34-1","1","ニドキング",""
"1-n34-2","2","Nidoking",""
"1-n35-1","1","ピッピ",""
"1-n35-2","2","Clefairy",""
"1-n36-1","1","ピクシー",""
"1-n36-2","2","Clefable",""
"1-n37-1","1","ロコン",""
"1-n37-2","2","Vulpix",""
"1-n37a-1","1","ロコン","アローラのすがた"
"1-n37a-2","2","Vulpix","アローラのすがた"
"1-n38-1","1","キュウコン",""
"1-n38-2","2","Ninetales",""
"1-n38a-1","1","キュウコン","アローラのすがた"
"1-n38a-2","2","Ninetales","アローラのすがた"
"1-n39-1","1","プリン",""
"1-n39-2","2","Jigglypuff",""
"1-n40-1","1","プクリン",""
"1-n40-2","2","Wigglytuff",""
"1-n41-1","1","ズバット",""
"1-n41-2","2","Zubat",""
"1-n42-1","1","ゴルバット",""
"1-n42-2","2","Golbat",""
"1-n43-1","1","ナゾノクサ",""
"1-n43-2","2","Oddish",""
"1-n44-1","1","クサイハナ",""
"1-n44-2","2","Gloom",""
"1-n45-1","1","ラフレシア",""
"1-n45-2","2","Vileplume",""
"1-n46-1","1","パラス",""
"1-n46-2","2","Paras",""
"1-n47-1","1","パラセクト",""
"1-n47-2","2","Parasect",""
"1-n48-1","1","コンパン",""
"1-n48-2","2","Venonat",""
"1-n49-1","1","モルフォン",""
"1-n49-2","2","Venomoth",""
"1-n50-1","1","ディグダ",""
"1-n50-2","2","Diglett",""
"1-n50a-1","1","ディグダ","アローラのすがた"
"1-n50a-2","2","Diglett","アローラのすがた"
"1-n51-1","1","ダグトリオ",""
"1-n51-2","2","Dugtrio",""
"1-n51a-1","1","ダグトリオ","アローラのすがた"
"1-n51a-2","2","Dugtrio","アローラのすがた"
"1-n52-1","1","ニャース",""
"1-n52-2","2","Meowth",""
"1-n52a-1","1","ニャース","アローラのすがた"
"1-n52a-2","2","Meowth","アローラのすがた"
"1-n53-1","1","ペルシアン",""
"1-n53-2","2","Persian",""
"1-n53a-1","1","ペルシアン","アローラのすがた"
"1-n53a-2","2","Persian","アローラのすがた"
"1-n54-1","1","コダック",""
"1-n54-2","2","Psyduck",""
"1-n55-1","1","ゴルダック",""
"1-n55-2","2","Golduck",""
"1-n56-1","1","マンキー",""
