"pokemonId","typeId"
"1-n1","11"
"1-n1","3"
"1-n2","11"
"1-n2","3"
"1-n3","11"
"1-n3","3"
"1-n3m","11"
"1-n3m","3"
"1-n4","9"
"1-n5","9"
"1-n6","9"
"1-n6","2"
"1-n6x","9"
"1-n6x","15"
"1-n6y","9"
"1-n6y","2"
"1-n7","10"
"1-n8","10"
"1-n9","10"
"1-n9m","10"
"1-n10","6"
"1-n11","6"
"1-n12","6"
"1-n12","2"
"1-n13","6"
"1-n13","3"
"1-n14","6"
"1-n14","3"
"1-n15","6"
"1-n15","3"
"1-n15m","6"
"1-n15m","3"
"1-n16","0"
"1-n16","2"
"1-n17","0"
"1-n17","2"
"1-n18","0"
"1-n18","2"
"1-n18m","0"
"1-n18m","2"
"1-n19","0"
"1-n19a","16"
"1-n19a","0"
"1-n20","0"
"1-n20a","16"
"1-n20a","0"
"1-n21","0"
"1-n21","2"
"1-n22","0"
"1-n22","2"
"1-n23","3"
"1-n24","3"
"1-n25","12"
"1-n26","12"
"1-n26a","12"
"1-n26a","13"
"1-n27","4"
"1-n27a","14"
"1-n27a","8"
"1-n28","4"
"1-n28a","14"
"1-n28a","8"
"1-n29","3"
"1-n30","3"
"1-n31","3"
"1-n31","4"
"1-n32","3"
"1-n33","3"
"1-n34","3"
"1-n34","4"
"1-n35","17"
"1-n36","17"
"1-n37","9"
"1-n37a","14"
"1-n38","9"
"1-n38a","14"
"1-n38a","17"
"1-n39","0"
"1-n39","17"
"1-n40","0"
"1-n40","17"
"1-n41","3"
"1-n41","2"
"1-n42","3"
"1-n42","2"
"1-n43","11"
"1-n43","3"
"1-n44","11"
"1-n44","3"
"1-n45","11"
"1-n45","3"
"1-n46","6"
"1-n46","11"
"1-n47","6"
"1-n47","11"
"1-n48","6"
"1-n48","3"
"1-n49","6"
"1-n49","3"
"1-n50","4"
"1-n50a","4"
"1-n50a","8"
"1-n51","4"
"1-n51a","4"
"1-n51a","8"
"1-n52","0"
"1-n52a","16"
"1-n53","0"
"1-n53a","16"
"1-n54","10"
"1-n55","10"
"1-n56","1"
"1-n57","1"
"1-n58","9"
"1-n59","9"
"1-n60","10"
"1-n61","10"
"1-n62","10"
"1-n62","1"
"1-n63","13"
"1-n64","13"
"1-n65","13"
"1-n65m","13"
"1-n66","1"
"1-n67","1"
"1-n68","1"
"1-n69","11"
"1-n69","3"
"1-n70","11"
"1-n70","3"
"1-n71","11"
"1-n71","3"
"1-n72","10"
"1-n72","3"
"1-n73","10"
"1-n73","3"
"1-n74","5"
"1-n74","4"
"1-n74a","5"
"1-n74a","12"
"1-n75","5"
"1-n75","4"
"1-n75a","5"
"1-n75a","12"
"1-n76","5"
"1-n76","4"
"1-n76a","5"
"1-n76a","12"
"1-n77","9"
"1-n78","9"
"1-n79","10"
"1-n79","13"
"1-n80","10"
"1-n80","13"
"1-n80m","10"
"1-n80m","13"
"1-n81","12"
"1-n81","8"
"1-n82","12"
"1-n82","8"
"1-n83","0"
"1-n83","2"
"1-n84","0"
"1-n84","2"
"1-n85","0"
"1-n85","2"
"1-n86","10"
"1-n87","10"
"1-n87","14"
"1-n88","3"
"1-n88a","3"
"1-n88a","16"
"1-n89","3"
"1-n89a","3"
"1-n89a","16"
"1-n90","10"
"1-n91","10"
"1-n91","14"
"1-n92","7"
"1-n92","3"
"1-n93","7"
"1-n93","3"
"1-n94","7"
"1-n94","3"
"1-n94m","7"
"1-n94m","3"
"1-n95","5"
"1-n95","4"
"1-n96","13"
"1-n97","13"
"1-n98","10"
"1-n99","10"
"1-n100","12"
"1-n101","12"
"1-n102","11"
"1-n102","13"
"1-n103","11"
"1-n103","13"
"1-n103a","11"
"1-n103a","15"
"1-n104","4"
"1-n105","4"
"1-n105a","9"
"1-n105a","7"
"1-n106","1"
"1-n107","1"
"1-n108","0"
"1-n109","3"
"1-n110","3"
"1-n111","4"
"1-n111","5"
"1-n112","4"
"1-n112","5"
"1-n113","0"
"1-n114","11"
"1-n115","0"
"1-n115m","0"
"1-n116","10"
"1-n117","10"
"1-n118","10"
"1-n119","10"
"1-n120","10"
"1-n121","10"
"1-n121","13"
"1-n122","13"
"1-n122","17"
"1-n123","6"
"1-n123","2"
"1-n124","14"
"1-n124","13"
"1-n125","12"
"1-n126","9"
"1-n127","6"
"1-n127m","6"
"1-n127m","2"
"1-n128","0"
"1-n129","10"
"1-n130","10"
"1-n130","2"
"1-n130m","10"
"1-n130m","16"
"1-n131","10"
"1-n131","14"
"1-n132","0"
"1-n133","0"
"1-n134","10"
"1-n135","12"
"1-n136","9"
"1-n137","0"
"1-n138","5"
"1-n138","10"
"1-n139","5"
"1-n139","10"
"1-n140","5"
"1-n140","10"
"1-n141","5"
"1-n141","10"
"1-n142","5"
"1-n142","2"
"1-n142m","5"
"1-n142m","2"
"1-n143","0"
"1-n144","14"
"1-n144","2"
"1-n145","12"
"1-n145","2"
"1-n146","9"
"1-n146","2"
"1-n147","15"
"1-n148","15"
"1-n149","15"
"1-n149","2"
"1-n150","13"
"1-n150x","13"
"1-n150x","1"
"1-n150y","13"
"1-n151","13"
"1-n152","11"
"1-n153","11"
"1-n154","11"
"1-n155","9"
"1-n156","9"
"1-n157","9"
"1-n158","10"
"1-n159","10"
"1-n160","10"
"1-n161","0"
"1-n162","0"
"1-n163","0"
"1-n163","2"
"1-n164","0"
"1-n164","2"
"1-n165","6"
"1-n165","2"
"1-n166","6"
"1-n166","2"
"1-n167","6"
"1-n167","3"
"1-n168","6"
"1-n168","3"
"1-n169","3"
"1-n169","2"
"1-n170","10"
"1-n170","12"
"1-n171","10"
"1-n171","12"
"1-n172","12"
"1-n173","17"
"1-n174","0"
"1-n174","17"
"1-n175","17"
"1-n176","17"
"1-n176","2"
"1-n177","13"
"1-n177","2"
"1-n178","13"
"1-n178","2"
"1-n179","12"
"1-n180","12"
"1-n181","12"
"1-n181m","12"
"1-n181m","15"
"1-n182","11"
"1-n183","10"
"1-n183","17"
"1-n184","10"
"1-n184","17"
"1-n185","5"
"1-n186","10"
"1-n187","11"
"1-n187","2"
"1-n188","11"
"1-n188","2"
"1-n189","11"
"1-n189","2"
"1-n190","0"
"1-n191","11"
"1-n192","11"
"1-n193","6"
"1-n193","2"
"1-n194","10"
"1-n194","4"
"1-n195","10"
"1-n195","4"
"1-n196","13"
"1-n197","16"
"1-n198","16"
"1-n198","2"
"1-n199","10"
"1-n199","13"
"1-n200","7"
"1-n201","13"
"1-n202","13"
"1-n203","0"
"1-n203","13"
"1-n204","6"
"1-n205","6"
"1-n205","8"
"1-n206","0"
"1-n207","4"
"1-n207","2"
"1-n208","8"
"1-n208","4"
"1-n208m","8"
"1-n208m","4"
"1-n209","17"
"1-n210","17"
"1-n211","10"
"1-n211","3"
"1-n212","6"
"1-n212","8"
"1-n212m","6"
"1-n212m","8"
"1-n213","6"
"1-n213","5"
"1-n214","6"
"1-n214","1"
"1-n214m","6"
"1-n214m","1"
"1-n215","16"
"1-n215","14"
"1-n216","0"
"1-n217","0"
"1-n218","9"
"1-n219","9"
"1-n219","5"
"1-n220","14"
"1-n220","4"
"1-n221","14"
"1-n221","4"
"1-n222","10"
"1-n222","5"
"1-n223","10"
"1-n224","10"
"1-n225","14"
"1-n225","2"
"1-n226","10"
"1-n226","2"
"1-n227","8"
"1-n227","2"
"1-n228","16"
"1-n228","9"
"1-n229","16"
"1-n229","9"
"1-n229m","16"
"1-n229m","9"
"1-n230","10"
"1-n230","15"
"1-n231","4"
"1-n232","4"
"1-n233","0"
"1-n234","0"
"1-n235","0"
"1-n236","1"
"1-n237","1"
"1-n238","14"
"1-n238","13"
"1-n239","12"
"1-n240","9"
"1-n241","0"
"1-n242","0"
"1-n243","12"
"1-n244","9"
"1-n245","10"
"1-n246","5"
"1-n246","4"
"1-n247","5"
"1-n247","4"
