"id","no","height","weight","order","isDefault"
"1-n1","001","0.7","6.9","1","true"
"1-n2","002","1.0","13.0","1","true"
"1-n3","003","2.0","100.0","1","true"
"1-n3m","003","2.4","155.5","2","false"
"1-n4","004","0.6","8.5","1","true"
"1-n5","005","1.1","19.0","1","true"
"1-n6","006","1.7","90.5","1","true"
"1-n6x","006","1.7","110.5","2","false"
"1-n6y","006","1.7","100.5","3","false"
"1-n7","007","0.5","9.0","1","true"
"1-n8","008","1.0","22.5","1","true"
"1-n9","009","1.6","85.5","1","true"
"1-n9m","009","1.6","101.1","2","false"
"1-n10","010","0.3","2.9","1","true"
"1-n11","011","0.7","9.9","1","true"
"1-n12","012","1.1","32.0","1","true"
"1-n13","013","0.3","3.2","1","true"
"1-n14","014","0.6","10.0","1","true"
"1-n15","015","1.0","29.5","1","true"
"1-n15m","015","1.4","40.5","2","false"
"1-n16","016","0.3","1.8","1","true"
"1-n17","017","1.1","30.0","1","true"
"1-n18","018","1.5","39.5","1","true"
"1-n18m","018","2.2","50.5","2","false"
"1-n19","019","0.3","3.5","1","true"
"1-n19a","019","0.3","3.8","2","false"
"1-n20","020","0.7","18.5","1","true"
"1-n20a","020","0.7","25.5","2","false"
"1-n21","021","0.3","2.0","1","true"
"1-n22","022","1.2","38.0","1","true"
"1-n23","023","2.0","6.9","1","true"
"1-n24","024","3.5","65.0","1","true"
"1-n25","025","0.4","6.0","1","true"
"1-n26","026","0.8","30.0","1","true"
"1-n26a","026","0.7","21.0","2","false"
"1-n27","027","0.6","12.0","1","true"
"1-n27a","027","0.7","40.0","2","false"
"1-n28","028","1.0","29.5","1","true"
"1-n28a","028","1.2","55.0","2","false"
"1-n29","029","0.4","7.0","1","true"
"1-n30","030","0.8","20.0","1","true"
"1-n31","031","1.3","60.0","1","true"
"1-n32","032","0.5","9.0","1","true"
"1-n33","033","0.9","19.5","1","true"
"1-n34","034","1.4","62.0","1","true"
"1-n35","035","0.6","7.5","1","true"
"1-n36","036","1.3","40.0","1","true"
"1-n37","037","0.6","9.9","1","true"
"1-n37a","037","0.6","9.9","2","false"
"1-n38","038","1.1","19.9","1","true"
