"id","name","type","power1","power2","pp","accuracy","priority","damageType","isDirect","canProtect"
"2-1","アイアンテール","8","100","","15","75","0","物理","false","true"
"2-2","アクアジェット","10","40","","20","100","1","物理","false","true"
"2-3","あくのはどう","16","80","","15","100","0","特殊","false","true"
"2-4","あくび","0","-","","10","-","0","変化","false","true"
"2-5","あくまのキッス","0","-","","10","75","0","変化","false","true"
"2-6","あなをほる","4","80","","10","100","0","物理","false","true"
"2-7","あばれる","0","120","","10","100","0","物理","false","true"
"2-8","あやしいひかり","7","-","","10","100","0","変化","false","true"
"2-9","あわ","10","40","","30","100","0","特殊","false","true"
"2-10","アンコール","0","-","","5","100","0","変化","false","true"
"2-11","いあいぎり","0","50","","30","95","0","物理","false","true"
"2-12","イカサマ","16","95","","15","100","0","物理","false","true"
"2-13","いかり","0","20","","20","100","0","物理","false","true"
"2-14","いかりのまえば","0","-","","10","90","0","物理","false","true"
"2-15","いきいきバブル","10","90","","15","100","0","特殊","false","true"
"2-16","いとをはく","6","-","","40","95","0","変化","false","true"
"2-17","いやなおと","0","-","","40","85","0","変化","false","true"
"2-18","いわおとし","5","50","","15","90","0","物理","false","true"
"2-19","いわなだれ","5","75","","10","90","0","物理","false","true"
"2-20","うたう","0","-","","15","55","0","変化","false","true"
"2-21","エアスラッシュ","2","75","","15","95","0","特殊","false","true"
"2-22","えんまく","0","-","","20","100","0","変化","false","true"
"2-23","オーロラビーム","14","65","","20","100","0","特殊","false","true"
"2-24","おうふくビンタ","0","15","","10","85","0","物理","false","true"
"2-25","オウムがえし","2","-","","20","-","0","変化","false","false"
"2-26","おにび","9","-","","15","85","0","変化","false","true"
"2-27","かいりき","0","80","","15","100","0","物理","false","true"
"2-28","カウンター","1","-","","20","100","-5","物理","false","true"
"2-29","かえんほうしゃ","9","90","","15","100","0","特殊","false","true"
"2-30","かくばる","0","-","","30","-","0","変化","false","false"
"2-31","かげぶんしん","0","-","","15","-","0","変化","false","false"
"2-32","かぜおこし","2","40","","35","100","0","特殊","false","true"
"2-33","かたくなる","0","-","","30","-","0","変化","false","false"
