"pokemonId","evolutionChainId","order"
"2-n1","2-n1","1"
"2-n1","2-n2","2"
"2-n1","2-n3","3"
"2-n2","2-n1","1"
"2-n2","2-n2","2"
"2-n2","2-n3","3"
"2-n3","2-n1","1"
"2-n3","2-n2","2"
"2-n3","2-n3","3"
"2-n3m","2-n1","1"
"2-n3m","2-n2","2"
"2-n3m","2-n3","3"
"2-n4","2-n4","1"
"2-n4","2-n5","2"
"2-n4","2-n6","3"
"2-n5","2-n4","1"
"2-n5","2-n5","2"
"2-n5","2-n6","3"
"2-n6","2-n4","1"
"2-n6","2-n5","2"
"2-n6","2-n6","3"
"2-n6x","2-n4","1"
"2-n6x","2-n5","2"
"2-n6x","2-n6","3"
"2-n6y","2-n4","1"
"2-n6y","2-n5","2"
"2-n6y","2-n6","3"
"2-n7","2-n7","1"
"2-n7","2-n8","2"
"2-n7","2-n9","3"
"2-n8","2-n7","1"
"2-n8","2-n8","2"
"2-n8","2-n9","3"
"2-n9","2-n7","1"
"2-n9","2-n8","2"
"2-n9","2-n9","3"
"2-n9m","2-n7","1"
"2-n9m","2-n8","2"
"2-n9m","2-n9","3"
"2-n10","2-n10","1"
"2-n10","2-n11","2"
"2-n10","2-n12","3"
"2-n11","2-n10","1"
"2-n11","2-n11","2"
"2-n11","2-n12","3"
"2-n12","2-n10","1"
"2-n12","2-n11","2"
"2-n12","2-n12","3"
"2-n13","2-n13","1"
"2-n13","2-n14","2"
"2-n13","2-n15","3"
"2-n14","2-n13","1"
"2-n14","2-n14","2"
"2-n14","2-n15","3"
"2-n15","2-n13","1"
"2-n15","2-n14","2"
"2-n15","2-n15","3"
"2-n15m","2-n13","1"
"2-n15m","2-n14","2"
"2-n15m","2-n15","3"
"2-n16","2-n16","1"
"2-n16","2-n17","2"
"2-n16","2-n18","3"
"2-n17","2-n16","1"
"2-n17","2-n17","2"
"2-n17","2-n18","3"
"2-n18","2-n16","1"
"2-n18","2-n17","2"
"2-n18","2-n18","3"
"2-n18m","2-n16","1"
"2-n18m","2-n17","2"
"2-n18m","2-n18","3"
"2-n19","2-n19","1"
"2-n19","2-n20","2"
"2-n19a","2-n19a","1"
"2-n19a","2-n20a","2"
"2-n20","2-n19","1"
"2-n20","2-n20","2"
"2-n20a","2-n19a","1"
"2-n20a","2-n20a","2"
"2-n21","2-n21","1"
"2-n21","2-n22","2"
"2-n22","2-n21","1"
"2-n22","2-n22","2"
"2-n23","2-n23","1"
"2-n23","2-n24","2"
"2-n24","2-n23","1"
"2-n24","2-n24","2"
"2-n25","2-n172","1"
"2-n25","2-n25","2"
"2-n25","2-n26","3"
"2-n25b","2-n172","1"
"2-n25b","2-n25","2"
"2-n25b","2-n26","3"
"2-n26","2-n172","1"
"2-n26","2-n25","2"
"2-n26","2-n26","3"
"2-n26a","2-n172","1"
"2-n26a","2-n25","2"
"2-n26a","2-n26","3"
"2-n27","2-n27","1"
"2-n27","2-n28","2"
"2-n27a","2-n27a","1"
"2-n27a","2-n28a","2"
"2-n28","2-n27","1"
"2-n28","2-n28","2"
"2-n28a","2-n27a","1"
"2-n28a","2-n28a","2"
"2-n29","2-n29","1"
"2-n29","2-n30","2"
"2-n29","2-n31","3"
"2-n30","2-n29","1"
"2-n30","2-n30","2"
"2-n30","2-n31","3"
"2-n31","2-n29","1"
"2-n31","2-n30","2"
"2-n31","2-n31","3"
"2-n32","2-n32","1"
"2-n32","2-n33","2"
"2-n32","2-n34","3"
"2-n33","2-n32","1"
"2-n33","2-n33","2"
"2-n33","2-n34","3"
"2-n34","2-n32","1"
"2-n34","2-n33","2"
"2-n34","2-n34","3"
"2-n35","2-n173","1"
"2-n35","2-n35","2"
"2-n35","2-n36","3"
"2-n36","2-n173","1"
"2-n36","2-n35","2"
"2-n36","2-n36","3"
"2-n37","2-n37","1"
"2-n37","2-n38","2"
"2-n37a","2-n37a","1"
"2-n37a","2-n38a","2"
"2-n38","2-n37","1"
"2-n38","2-n38","2"
"2-n38a","2-n37a","1"
"2-n38a","2-n38a","2"
"2-n39","2-n174","1"
"2-n39","2-n39","2"
"2-n39","2-n40","3"
"2-n40","2-n174","1"
"2-n40","2-n39","2"
"2-n40","2-n40","3"
"2-n41","2-n41","1"
"2-n41","2-n42","2"
"2-n42","2-n41","1"
"2-n42","2-n42","2"
"2-n43","2-n43","1"
"2-n43","2-n44","2"
"2-n43","2-n45","3"
"2-n44","2-n43","1"
"2-n44","2-n44","2"
"2-n44","2-n45","3"
"2-n45","2-n43","1"
"2-n45","2-n44","2"
"2-n45","2-n45","3"
"2-n46","2-n46","1"
"2-n46","2-n47","2"
"2-n47","2-n46","1"
"2-n47","2-n47","2"
"2-n48","2-n48","1"
"2-n48","2-n49","2"
"2-n49","2-n48","1"
"2-n49","2-n49","2"
"2-n50","2-n50","1"
"2-n50","2-n51","2"
"2-n50a","2-n50a","1"
"2-n50a","2-n51a","2"
"2-n51","2-n50","1"
"2-n51","2-n51","2"
"2-n51a","2-n50a","1"
"2-n51a","2-n51a","2"
"2-n52","2-n52","1"
"2-n52","2-n53","2"
"2-n52a","2-n52a","1"
"2-n52a","2-n53a","2"
"2-n53","2-n52","1"
"2-n53","2-n53","2"
"2-n53a","2-n52a","1"
"2-n53a","2-n53a","2"
"2-n54","2-n54","1"
"2-n54","2-n55","2"
"2-n55","2-n54","1"
"2-n55","2-n55","2"
"2-n56","2-n56","1"
"2-n56","2-n57","2"
"2-n57","2-n56","1"
"2-n57","2-n57","2"
"2-n58","2-n58","1"
"2-n58","2-n59","2"
"2-n59","2-n58","1"
"2-n59","2-n59","2"
"2-n60","2-n60","1"
"2-n60","2-n61","2"
"2-n60","2-n62","3"
"2-n61","2-n60","1"
"2-n61","2-n61","2"
"2-n61","2-n62","3"
"2-n62","2-n60","1"
"2-n62","2-n61","2"
"2-n62","2-n62","3"
"2-n63","2-n63","1"
"2-n63","2-n64","2"
"2-n63","2-n65","3"
"2-n64","2-n63","1"
"2-n64","2-n64","2"
"2-n64","2-n65","3"
"2-n65","2-n63","1"
"2-n65","2-n64","2"
"2-n65","2-n65","3"
"2-n65m","2-n63","1"
"2-n65m","2-n64","2"
"2-n65m","2-n65","3"
"2-n66","2-n66","1"
"2-n66","2-n67","2"
"2-n66","2-n68","3"
"2-n67","2-n66","1"
"2-n67","2-n67","2"
"2-n67","2-n68","3"
"2-n68","2-n66","1"
"2-n68","2-n67","2"
"2-n68","2-n68","3"
"2-n69","2-n69","1"
"2-n69","2-n70","2"
"2-n69","2-n71","3"
"2-n70","2-n69","1"
"2-n70","2-n70","2"
"2-n70","2-n71","3"
