"pokemonId","localLanguageId","name","formName"
"2-n1-1","1","フシギダネ",""
"2-n1-2","2","Bulbasaur",""
"2-n2-1","1","フシギソウ",""
"2-n2-2","2","Ivysaur",""
"2-n3-1","1","フシギバナ",""
"2-n3-2","2","Venusaur",""
"2-n3m-1","1","メガフシギバナ","メガフシギバナ"
"2-n3m-2","2","Venusaur","メガフシギバナ"
"2-n4-1","1","ヒトカゲ",""
"2-n4-2","2","Charmander",""
"2-n5-1","1","リザード",""
"2-n5-2","2","Charmeleon",""
"2-n6-1","1","リザードン",""
"2-n6-2","2","Charizard",""
"2-n6x-1","1","メガリザードンX","メガリザードンX"
"2-n6x-2","2","Charizard","メガリザードンX"
"2-n6y-1","1","メガリザードンY","メガリザードンY"
"2-n6y-2","2","Charizard","メガリザードンY"
"2-n7-1","1","ゼニガメ",""
"2-n7-2","2","Squirtle",""
"2-n8-1","1","カメール",""
"2-n8-2","2","Wartortle",""
"2-n9-1","1","カメックス",""
"2-n9-2","2","Blastoise",""
"2-n9m-1","1","メガカメックス","メガカメックス"
"2-n9m-2","2","Blastoise","メガカメックス"
"2-n10-1","1","キャタピー",""
"2-n10-2","2","Caterpie",""
"2-n11-1","1","トランセル",""
"2-n11-2","2","Metapod",""
"2-n12-1","1","バタフリー",""
"2-n12-2","2","Butterfree",""
"2-n13-1","1","ビードル",""
"2-n13-2","2","Weedle",""
"2-n14-1","1","コクーン",""
"2-n14-2","2","Kakuna",""
"2-n15-1","1","スピアー",""
"2-n15-2","2","Beedrill",""
"2-n15m-1","1","メガスピアー","メガスピアー"
"2-n15m-2","2","Beedrill","メガスピアー"
"2-n16-1","1","ポッポ",""
"2-n16-2","2","Pidgey",""
"2-n17-1","1","ピジョン",""
"2-n17-2","2","Pidgeotto",""
"2-n18-1","1","ピジョット",""
"2-n18-2","2","Pidgeot",""
"2-n18m-1","1","メガピジョット","メガピジョット"
"2-n18m-2","2","Pidgeot","メガピジョット"
"2-n19-1","1","コラッタ",""
"2-n19-2","2","Rattata",""
"2-n19a-1","1","コラッタ","アローラのすがた"
"2-n19a-2","2","Rattata","アローラのすがた"
"2-n20-1","1","ラッタ",""
"2-n20-2","2","Raticate",""
"2-n20a-1","1","ラッタ","アローラのすがた"
"2-n20a-2","2","Raticate","アローラのすがた"
"2-n21-1","1","オニスズメ",""
"2-n21-2","2","Spearow",""
"2-n22-1","1","オニドリル",""
"2-n22-2","2","Fearow",""
"2-n23-1","1","アーボ",""
"2-n23-2","2","Ekans",""
"2-n24-1","1","アーボック",""
"2-n24-2","2","Arbok",""
"2-n25-1","1","ピカチュウ",""
"2-n25-2","2","Pikachu",""
"2-n25b-1","1","ピカチュウ","相棒"
"2-n25b-2","2","Pikachu","相棒"
"2-n26-1","1","ライチュウ",""
"2-n26-2","2","Raichu",""
"2-n26a-1","1","ライチュウ","アローラのすがた"
"2-n26a-2","2","Raichu","アローラのすがた"
"2-n27-1","1","サンド",""
"2-n27-2","2","Sandshrew",""
"2-n27a-1","1","サンド","アローラのすがた"
"2-n27a-2","2","Sandshrew","アローラのすがた"
"2-n28-1","1","サンドパン",""
"2-n28-2","2","Sandslash",""
"2-n28a-1","1","サンドパン","アローラのすがた"
"2-n28a-2","2","Sandslash","アローラのすがた"
"2-n29-1","1","ニドラン♀",""
"2-n29-2","2","Nidoran♀",""
"2-n30-1","1","ニドリーナ",""
"2-n30-2","2","Nidorina",""
"2-n31-1","1","ニドクイン",""
"2-n31-2","2","Nidoqueen",""
"2-n32-1","1","ニドラン♂",""
"2-n32-2","2","Nidoran♂",""
"2-n33-1","1","ニドリーノ",""
"2-n33-2","2","Nidorino",""
"2-n34-1","1","ニドキング",""
"2-n34-2","2","Nidoking",""
"2-n35-1","1","ピッピ",""
"2-n35-2","2","Clefairy",""
"2-n36-1","1","ピクシー",""
"2-n36-2","2","Clefable",""
