"pokemonId","hp","attack","defense","spAttack","spDefense","speed"
"2-n1","45","49","49","65","65","45"
"2-n2","60","62","63","80","80","60"
"2-n3","80","82","83","100","100","80"
"2-n3m","80","100","123","122","120","80"
"2-n4","39","52","43","60","50","65"
"2-n5","58","64","58","80","65","80"
"2-n6","78","84","78","109","85","100"
"2-n6x","78","130","111","130","85","100"
"2-n6y","78","104","78","159","115","100"
"2-n7","44","48","65","50","64","43"
"2-n8","59","63","80","65","80","58"
"2-n9","79","83","100","85","105","78"
"2-n9m","79","103","120","135","115","78"
"2-n10","45","30","35","20","20","45"
"2-n11","50","20","55","25","25","30"
"2-n12","60","45","50","90","80","70"
"2-n13","40","35","30","20","20","50"
"2-n14","45","25","50","25","25","35"
"2-n15","65","90","40","45","80","75"
"2-n15m","65","150","40","15","80","145"
"2-n16","40","45","40","35","35","56"
"2-n17","63","60","55","50","50","71"
"2-n18","83","80","75","70","70","101"
"2-n18m","83","80","80","135","80","121"
"2-n19","30","56","35","25","35","72"
"2-n19a","30","56","35","25","35","72"
"2-n20","55","81","60","50","70","97"
"2-n20a","75","71","70","40","80","77"
"2-n21","40","60","30","31","31","70"
"2-n22","65","90","65","61","61","100"
"2-n23","35","60","44","40","54","55"
"2-n24","60","95","69","65","79","80"
"2-n25","35","55","40","50","50","90"
"2-n25b","45","80","50","75","60","120"
"2-n26","60","90","55","90","80","110"
"2-n26a","60","85","50","95","85","110"
"2-n27","50","75","85","20","30","40"
"2-n27a","50","75","90","10","35","40"
"2-n28","75","100","110","45","55","65"
"2-n28a","75","100","120","25","65","65"
"2-n29","55","47","52","40","40","41"
"2-n30","70","62","67","55","55","56"
"2-n31","90","92","87","75","85","76"
"2-n32","46","57","40","40","40","50"
"2-n33","61","72","57","55","55","65"
"2-n34","81","102","77","85","75","85"
"2-n35","70","45","48","60","65","35"
"2-n36","95","70","73","95","90","60"
"2-n37","38","41","40","50","65","65"
"2-n37a","38","41","40","50","65","65"
"2-n38","73","76","75","81","100","100"
"2-n38a","73","67","75","81","100","109"
"2-n39","115","45","20","45","25","20"
"2-n40","140","70","45","85","50","45"
"2-n41","40","45","35","30","40","55"
"2-n42","75","80","70","65","75","90"
"2-n43","45","50","55","75","65","30"
"2-n44","60","65","70","85","75","40"
"2-n45","75","80","85","110","90","50"
"2-n46","35","70","55","45","55","25"
"2-n47","60","95","80","60","80","30"
"2-n48","60","55","50","40","55","45"
"2-n49","70","65","60","90","75","90"
"2-n50","10","55","25","35","45","95"
"2-n50a","10","55","30","35","45","90"
"2-n51","35","100","50","50","70","120"
"2-n51a","35","100","60","50","70","110"
"2-n52","40","45","35","40","40","90"
"2-n52a","40","35","35","50","40","90"
"2-n53","65","70","60","65","65","115"
"2-n53a","65","60","60","75","65","115"
"2-n54","50","52","48","65","50","55"
"2-n55","80","82","78","95","80","85"
"2-n56","40","80","35","35","45","70"
"2-n57","65","105","60","60","70","95"
"2-n58","55","70","45","70","50","60"
"2-n59","90","110","80","100","80","95"
"2-n60","40","50","40","40","40","90"
"2-n61","65","65","65","50","50","90"
"2-n62","90","95","95","70","90","70"
"2-n63","25","20","15","105","55","90"
"2-n64","40","35","30","120","70","105"
"2-n65","55","50","45","135","95","120"
"2-n65m","55","50","65","175","105","150"
"2-n66","70","80","50","35","35","35"
"2-n67","80","100","70","50","60","45"
"2-n68","90","130","80","65","85","55"
"2-n69","50","75","35","70","30","40"
"2-n70","65","90","50","85","45","55"
"2-n71","80","105","65","100","70","70"
"2-n72","40","40","35","50","100","70"
"2-n73","80","70","65","80","120","100"
"2-n74","40","80","100","30","30","20"
"2-n74a","40","80","100","30","30","20"
"2-n75","55","95","115","45","45","35"
"2-n75a","55","95","115","45","45","35"
"2-n76","80","120","130","55","65","45"
"2-n76a","80","120","130","55","65","45"
"2-n77","50","85","55","65","65","90"
"2-n78","65","100","70","80","80","105"
"2-n79","90","65","65","40","40","15"
"2-n80","95","75","110","100","80","30"
"2-n80m","95","75","180","130","80","30"
"2-n81","25","35","70","95","55","45"
"2-n82","50","60","95","120","70","70"
"2-n83","52","90","55","58","62","60"
"2-n84","35","85","45","35","35","75"
"2-n85","60","110","70","60","60","110"
"2-n86","65","45","55","45","70","45"
"2-n87","90","70","80","70","95","70"
"2-n88","80","80","50","40","50","25"
"2-n88a","80","80","50","40","50","25"
"2-n89","105","105","75","65","100","50"
"2-n89a","105","105","75","65","100","50"
"2-n90","30","65","100","45","25","40"
"2-n91","50","95","180","85","45","70"
"2-n92","30","35","30","100","35","80"
"2-n93","45","50","45","115","55","95"
"2-n94","60","65","60","130","75","110"
"2-n94m","60","65","80","170","95","130"
"2-n95","35","45","160","30","45","70"
"2-n96","60","48","45","43","90","42"
"2-n97","85","73","70","73","115","67"
"2-n98","30","105","90","25","25","50"
"2-n99","55","130","115","50","50","75"
"2-n100","40","30","50","55","55","100"
"2-n101","60","50","70","80","80","150"
"2-n102","60","40","80","60","45","40"
"2-n103","95","95","85","125","75","55"
"2-n103a","95","105","85","125","75","45"
"2-n104","50","50","95","40","50","35"
"2-n105","60","80","110","50","80","45"
"2-n105a","60","80","110","50","80","45"
"2-n106","50","120","53","35","110","87"
"2-n107","50","105","79","35","110","76"
"2-n108","90","55","75","60","75","30"
"2-n109","40","65","95","60","45","35"
