"pokemonId","typeId"
"2-n1","11"
"2-n1","3"
"2-n2","11"
"2-n2","3"
"2-n3","11"
"2-n3","3"
"2-n3m","11"
"2-n3m","3"
"2-n4","9"
"2-n5","9"
"2-n6","9"
"2-n6","2"
"2-n6x","9"
"2-n6x","15"
"2-n6y","9"
"2-n6y","2"
"2-n7","10"
"2-n8","10"
"2-n9","10"
"2-n9m","10"
"2-n10","6"
"2-n11","6"
"2-n12","6"
"2-n12","2"
"2-n13","6"
"2-n13","3"
"2-n14","6"
"2-n14","3"
"2-n15","6"
"2-n15","3"
"2-n15m","6"
"2-n15m","3"
"2-n16","0"
"2-n16","2"
"2-n17","0"
"2-n17","2"
"2-n18","0"
"2-n18","2"
"2-n18m","0"
"2-n18m","2"
"2-n19","0"
"2-n19a","16"
"2-n19a","0"
"2-n20","0"
"2-n20a","16"
"2-n20a","0"
"2-n21","0"
"2-n21","2"
"2-n22","0"
"2-n22","2"
"2-n23","3"
"2-n24","3"
"2-n25","12"
"2-n25b","12"
"2-n26","12"
"2-n26a","12"
"2-n26a","13"
"2-n27","4"
"2-n27a","14"
"2-n27a","8"
"2-n28","4"
"2-n28a","14"
"2-n28a","8"
"2-n29","3"
"2-n30","3"
"2-n31","3"
"2-n31","4"
"2-n32","3"
"2-n33","3"
"2-n34","3"
"2-n34","4"
"2-n35","17"
"2-n36","17"
"2-n37","9"
"2-n37a","14"
"2-n38","9"
"2-n38a","14"
"2-n38a","17"
"2-n39","0"
"2-n39","17"
"2-n40","0"
"2-n40","17"
"2-n41","3"
"2-n41","2"
"2-n42","3"
"2-n42","2"
"2-n43","11"
"2-n43","3"
"2-n44","11"
"2-n44","3"
"2-n45","11"
"2-n45","3"
"2-n46","6"
"2-n46","11"
"2-n47","6"
"2-n47","11"
"2-n48","6"
"2-n48","3"
"2-n49","6"
"2-n49","3"
"2-n50","4"
"2-n50a","4"
"2-n50a","8"
"2-n51","4"
"2-n51a","4"
"2-n51a","8"
"2-n52","0"
"2-n52a","16"
"2-n53","0"
"2-n53a","16"
"2-n54","10"
"2-n55","10"
"2-n56","1"
"2-n57","1"
"2-n58","9"
"2-n59","9"
"2-n60","10"
"2-n61","10"
"2-n62","10"
"2-n62","1"
"2-n63","13"
"2-n64","13"
"2-n65","13"
"2-n65m","13"
"2-n66","1"
"2-n67","1"
"2-n68","1"
"2-n69","11"
"2-n69","3"
"2-n70","11"
"2-n70","3"
"2-n71","11"
"2-n71","3"
"2-n72","10"
"2-n72","3"
"2-n73","10"
"2-n73","3"
"2-n74","5"
"2-n74","4"
"2-n74a","5"
"2-n74a","12"
"2-n75","5"
"2-n75","4"
"2-n75a","5"
"2-n75a","12"
"2-n76","5"
"2-n76","4"
"2-n76a","5"
"2-n76a","12"
"2-n77","9"
"2-n78","9"
"2-n79","10"
"2-n79","13"
"2-n80","10"
"2-n80","13"
"2-n80m","10"
"2-n80m","13"
"2-n81","12"
"2-n81","8"
"2-n82","12"
"2-n82","8"
"2-n83","0"
"2-n83","2"
"2-n84","0"
"2-n84","2"
"2-n85","0"
"2-n85","2"
"2-n86","10"
"2-n87","10"
"2-n87","14"
"2-n88","3"
"2-n88a","3"
"2-n88a","16"
"2-n89","3"
"2-n89a","3"
"2-n89a","16"
"2-n90","10"
"2-n91","10"
"2-n91","14"
"2-n92","7"
"2-n92","3"
"2-n93","7"
"2-n93","3"
"2-n94","7"
"2-n94","3"
"2-n94m","7"
"2-n94m","3"
"2-n95","5"
"2-n95","4"
"2-n96","13"
"2-n97","13"
"2-n98","10"
"2-n99","10"
"2-n100","12"
"2-n101","12"
"2-n102","11"
"2-n102","13"
"2-n103","11"
"2-n103","13"
"2-n103a","11"
"2-n103a","15"
"2-n104","4"
"2-n105","4"
"2-n105a","9"
"2-n105a","7"
"2-n106","1"
"2-n107","1"
"2-n108","0"
"2-n109","3"
"2-n110","3"
"2-n111","4"
"2-n111","5"
"2-n112","4"
"2-n112","5"
"2-n113","0"
"2-n114","11"
"2-n115","0"
"2-n115m","0"
"2-n116","10"
"2-n117","10"
"2-n118","10"
"2-n119","10"
"2-n120","10"
"2-n121","10"
"2-n121","13"
"2-n122","13"
"2-n122","17"
"2-n123","6"
"2-n123","2"
"2-n124","14"
"2-n124","13"
"2-n125","12"
"2-n126","9"
"2-n127","6"
"2-n127m","6"
"2-n127m","2"
"2-n128","0"
"2-n129","10"
"2-n130","10"
"2-n130","2"
"2-n130m","10"
"2-n130m","16"
"2-n131","10"
"2-n131","14"
"2-n132","0"
"2-n133","0"
"2-n133b","0"
"2-n134","10"
"2-n135","12"
"2-n136","9"
"2-n137","0"
"2-n138","5"
"2-n138","10"
"2-n139","5"
"2-n139","10"
"2-n140","5"
"2-n140","10"
"2-n141","5"
"2-n141","10"
"2-n142","5"
"2-n142","2"
"2-n142m","5"
"2-n142m","2"
"2-n143","0"
"2-n144","14"
"2-n144","2"
"2-n145","12"
"2-n145","2"
"2-n146","9"
"2-n146","2"
"2-n147","15"
"2-n148","15"
"2-n149","15"
"2-n149","2"
"2-n150","13"
"2-n150x","13"
"2-n150x","1"
"2-n150y","13"
"2-n151","13"
