"id","name","type","power1","power2","pp","accuracy","priority","damageType","isDirect","canProtect"
"3-1","アームハンマー","1","100","90","10","90","0","物理","true","true"
"3-2","アイアンテール","8","100","130","15","75","0","物理","true","true"
"3-3","アイアンヘッド","8","80","130","15","100","0","物理","true","true"
"3-4","アイアンローラー","8","130","140","5","100","0","物理","true","true"
"3-5","あおいほのお","9","130","140","5","85","0","特殊","false","true"
"3-6","アクアジェット","10","40","90","20","100","1","物理","true","true"
"3-7","アクアテール","10","90","130","10","90","0","物理","true","true"
"3-8","アクアブレイク","10","85","130","10","100","0","物理","true","true"
"3-9","アクアリング","10","-","-","20","-","0","変化","false","false"
"3-10","あくうせつだん","15","100","130","5","95","0","特殊","false","true"
"3-11","アクセルロック","5","40","90","20","100","1","物理","true","true"
"3-12","あくのはどう","16","80","130","15","100","0","特殊","false","true"
"3-13","あくび","0","-","-","10","-","0","変化","false","true"
"3-14","あくまのキッス","0","-","-","10","75","0","変化","false","true"
"3-15","アクロバット","2","55","110","15","100","0","物理","true","true"
"3-16","あさのひざし","0","-","-","5","-","0","変化","false","false"
"3-17","アシストギア","8","-","-","20","-","0","変化","false","false"
"3-18","アシストパワー","13","20","130","10","100","0","特殊","false","true"
"3-19","アシッドボム","3","40","70","20","100","0","特殊","false","true"
"3-20","アストラルビット","7","120","140","5","100","0","特殊","false","true"
"3-21","あてみなげ","1","70","85","10","-","-1","物理","true","true"
"3-22","あなをほる","4","80","130","10","100","0","物理","true","true"
"3-23","あばれる","0","120","140","10","100","0","物理","true","true"
"3-24","アフロブレイク","0","120","140","15","100","0","物理","true","true"
"3-25","あまいかおり","0","-","-","20","100","0","変化","false","true"
"3-26","あまえる","17","-","-","20","100","0","変化","false","true"
"3-27","あまごい","10","-","-","5","-","0","変化","false","false"
"3-28","あやしいひかり","7","-","-","10","100","0","変化","false","true"
"3-29","あられ","14","-","-","10","-","0","変化","false","false"
"3-30","アロマセラピー","11","-","-","5","-","0","変化","false","false"
"3-31","アロマミスト","17","-","-","20","-","0","変化","false","false"
"3-32","アンカーショット","8","80","130","20","100","0","物理","true","true"
"3-33","アンコール","0","-","-","5","100","0","変化","false","true"
"3-34","あんこくきょうだ","16","80","130","5","100","0","物理","true","true"
"3-35","いあいぎり","0","50","100","30","95","0","物理","true","true"
"3-36","いえき","3","-","-","10","100","0","変化","false","true"
"3-37","イカサマ","16","95","130","15","100","0","物理","true","true"
"3-38","いかりのこな","6","-","-","20","-","2","変化","false","false"
"3-39","いかりのまえば","0","-","100","10","90","0","物理","true","true"
"3-40","いたみわけ","0","-","-","20","-","0","変化","false","true"
"3-41","いちゃもん","16","-","-","15","100","0","変化","false","true"
"3-42","いてつくしせん","13","90","130","10","100","0","特殊","false","true"
"3-43","いとをはく","6","-","-","40","95","0","変化","false","true"
"3-44","いのちがけ","1","-","100","5","100","0","特殊","false","true"
"3-45","いのちのしずく","10","-","-","10","-","0","変化","false","false"
"3-46","いばる","0","-","-","15","85","0","変化","false","true"
"3-47","いびき","0","50","100","15","100","0","特殊","false","true"
"3-48","いやしのすず","0","-","-","5","-","0","変化","false","false"
"3-49","いやしのねがい","13","-","-","10","-","0","変化","false","false"
"3-50","いやしのはどう","13","-","-","10","-","0","変化","false","true"
"3-51","いやなおと","0","-","-","40","85","0","変化","false","true"
"3-52","いわおとし","5","50","100","15","90","0","物理","false","true"
"3-53","いわくだき","1","40","70","15","100","0","物理","true","true"
"3-54","いわなだれ","5","75","130","10","90","0","物理","false","true"
"3-55","インファイト","1","120","95","5","100","0","物理","true","true"
"3-56","ウェザーボール","0","50","130","10","100","0","特殊","false","true"
"3-57","うずしお","10","35","90","15","85","0","特殊","false","true"
"3-58","うそなき","16","-","-","20","100","0","変化","false","true"
"3-59","うたう","0","-","-","15","55","0","変化","false","true"
"3-60","うたかたのアリア","10","90","130","10","100","0","特殊","false","true"
"3-61","うちおとす","5","50","100","15","100","0","物理","false","true"
"3-62","ウッドハンマー","11","120","140","15","100","0","物理","true","true"
"3-63","ウッドホーン","11","75","130","10","100","0","物理","true","true"
"3-64","うっぷんばらし","16","75","130","5","100","0","物理","true","true"
"3-65","うらみ","7","-","-","10","100","0","変化","false","true"
"3-66","エアカッター","2","60","110","25","95","0","特殊","false","true"
"3-67","エアスラッシュ","2","75","130","15","95","0","特殊","false","true"
"3-68","エアロブラスト","2","100","130","5","95","0","特殊","false","true"
"3-69","エコーボイス","0","40","90","15","100","0","特殊","false","true"
"3-70","えだづき","11","40","90","40","100","0","物理","true","true"
"3-71","エナジーボール","11","90","130","10","100","0","特殊","false","true"
"3-72","エラがみ","10","85","130","10","100","0","物理","true","true"
"3-73","エレキネット","12","55","110","15","95","0","特殊","false","true"
"3-74","エレキフィールド","12","-","-","10","-","0","変化","false","false"
"3-75","エレキボール","12","-","130","10","100","0","特殊","false","true"
"3-76","えんまく","0","-","-","20","100","0","変化","false","true"
"3-77","オーバードライブ","12","80","130","10","100","0","特殊","false","true"
"3-78","オーバーヒート","9","130","140","5","90","0","特殊","false","true"
"3-79","オーラぐるま","12","110","140","10","100","0","物理","false","true"
"3-80","オーロラビーム","14","65","120","20","100","0","特殊","false","true"
"3-81","オーロラベール","14","-","-","20","-","0","変化","false","false"
