"pokemonId","localLanguageId","name","formName"
"3-n1-1","1","フシギダネ",""
"3-n1-2","2","Bulbasaur",""
"3-n2-1","1","フシギソウ",""
"3-n2-2","2","Ivysaur",""
"3-n3-1","1","フシギバナ",""
"3-n3-2","2","Venusaur",""
"3-n4-1","1","ヒトカゲ",""
"3-n4-2","2","Charmander",""
"3-n5-1","1","リザード",""
"3-n5-2","2","Charmeleon",""
"3-n6-1","1","リザードン",""
"3-n6-2","2","Charizard",""
"3-n7-1","1","ゼニガメ",""
"3-n7-2","2","Squirtle",""
"3-n8-1","1","カメール",""
"3-n8-2","2","Wartortle",""
"3-n9-1","1","カメックス",""
"3-n9-2","2","Blastoise",""
"3-n10-1","1","キャタピー",""
"3-n10-2","2","Caterpie",""
"3-n11-1","1","トランセル",""
"3-n11-2","2","Metapod",""
"3-n12-1","1","バタフリー",""
"3-n12-2","2","Butterfree",""
"3-n25-1","1","ピカチュウ",""
"3-n25-2","2","Pikachu",""
"3-n26-1","1","ライチュウ",""
"3-n26-2","2","Raichu",""
"3-n26a-1","1","ライチュウ","アローラのすがた"
"3-n26a-2","2","Raichu","アローラのすがた"
"3-n27-1","1","サンド",""
"3-n27-2","2","Sandshrew",""
"3-n27a-1","1","サンド","アローラのすがた"
"3-n27a-2","2","Sandshrew","アローラのすがた"
"3-n28-1","1","サンドパン",""
"3-n28-2","2","Sandslash",""
"3-n28a-1","1","サンドパン","アローラのすがた"
"3-n28a-2","2","Sandslash","アローラのすがた"
"3-n29-1","1","ニドラン♀",""
"3-n29-2","2","Nidoran♀",""
"3-n30-1","1","ニドリーナ",""
"3-n30-2","2","Nidorina",""
"3-n31-1","1","ニドクイン",""
"3-n31-2","2","Nidoqueen",""
"3-n32-1","1","ニドラン♂",""
"3-n32-2","2","Nidoran♂",""
"3-n33-1","1","ニドリーノ",""
"3-n33-2","2","Nidorino",""
"3-n34-1","1","ニドキング",""
"3-n34-2","2","Nidoking",""
"3-n35-1","1","ピッピ",""
"3-n35-2","2","Clefairy",""
"3-n36-1","1","ピクシー",""
"3-n36-2","2","Clefable",""
"3-n37-1","1","ロコン",""
"3-n37-2","2","Vulpix",""
"3-n37a-1","1","ロコン","アローラのすがた"
"3-n37a-2","2","Vulpix","アローラのすがた"
"3-n38-1","1","キュウコン",""
"3-n38-2","2","Ninetales",""
"3-n38a-1","1","キュウコン","アローラのすがた"
"3-n38a-2","2","Ninetales","アローラのすがた"
"3-n39-1","1","プリン",""
"3-n39-2","2","Jigglypuff",""
"3-n40-1","1","プクリン",""
"3-n40-2","2","Wigglytuff",""
"3-n41-1","1","ズバット",""
"3-n41-2","2","Zubat",""
"3-n42-1","1","ゴルバット",""
"3-n42-2","2","Golbat",""
"3-n43-1","1","ナゾノクサ",""
"3-n43-2","2","Oddish",""
"3-n44-1","1","クサイハナ",""
"3-n44-2","2","Gloom",""
"3-n45-1","1","ラフレシア",""
"3-n45-2","2","Vileplume",""
"3-n50-1","1","ディグダ",""
"3-n50-2","2","Diglett",""
"3-n50a-1","1","ディグダ","アローラのすがた"
"3-n50a-2","2","Diglett","アローラのすがた"
"3-n51-1","1","ダグトリオ",""
"3-n51-2","2","Dugtrio",""
"3-n51a-1","1","ダグトリオ","アローラのすがた"
"3-n51a-2","2","Dugtrio","アローラのすがた"
"3-n52-1","1","ニャース",""
"3-n52-2","2","Meowth",""
"3-n52a-1","1","ニャース","アローラのすがた"
"3-n52a-2","2","Meowth","アローラのすがた"
"3-n52g-1","1","ニャース","ガラルのすがた"
"3-n52g-2","2","Meowth","ガラルのすがた"
"3-n53-1","1","ペルシアン",""
"3-n53-2","2","Persian",""
"3-n53a-1","1","ペルシアン","アローラのすがた"
"3-n53a-2","2","Persian","アローラのすがた"
"3-n54-1","1","コダック",""
"3-n54-2","2","Psyduck",""
"3-n55-1","1","ゴルダック",""
"3-n55-2","2","Golduck",""
"3-n58-1","1","ガーディ",""
"3-n58-2","2","Growlithe",""
"3-n59-1","1","ウインディ",""
"3-n59-2","2","Arcanine",""
"3-n60-1","1","ニョロモ",""
"3-n60-2","2","Poliwag",""
"3-n61-1","1","ニョロゾ",""
"3-n61-2","2","Poliwhirl",""
"3-n62-1","1","ニョロボン",""
"3-n62-2","2","Poliwrath",""
"3-n63-1","1","ケーシィ",""
"3-n63-2","2","Abra",""
"3-n64-1","1","ユンゲラー",""
"3-n64-2","2","Kadabra",""
"3-n65-1","1","フーディン",""
"3-n65-2","2","Alakazam",""
"3-n66-1","1","ワンリキー",""
"3-n66-2","2","Machop",""
"3-n67-1","1","ゴーリキー",""
"3-n67-2","2","Machoke",""
"3-n68-1","1","カイリキー",""
"3-n68-2","2","Machamp",""
"3-n72-1","1","メノクラゲ",""
"3-n72-2","2","Tentacool",""
"3-n73-1","1","ドククラゲ",""
"3-n73-2","2","Tentacruel",""
"3-n77-1","1","ポニータ",""
"3-n77-2","2","Ponyta",""
"3-n77g-1","1","ポニータ","ガラルのすがた"
"3-n77g-2","2","Ponyta","ガラルのすがた"
"3-n78-1","1","ギャロップ",""
"3-n78-2","2","Rapidash",""
"3-n78g-1","1","ギャロップ","ガラルのすがた"
"3-n78g-2","2","Rapidash","ガラルのすがた"
"3-n79-1","1","ヤドン",""
"3-n79-2","2","Slowpoke",""
"3-n79g-1","1","ヤドン","ガラルのすがた"
"3-n79g-2","2","Slowpoke","ガラルのすがた"
"3-n80-1","1","ヤドラン",""
"3-n80-2","2","Slowbro",""
"3-n80g-1","1","ヤドラン","ガラルのすがた"
"3-n80g-2","2","Slowbro","ガラルのすがた"
"3-n81-1","1","コイル",""
"3-n81-2","2","Magnemite",""
"3-n82-1","1","レアコイル",""
"3-n82-2","2","Magneton",""
"3-n83-1","1","カモネギ",""
"3-n83-2","2","Farfetch'd",""
"3-n83g-1","1","カモネギ","ガラルのすがた"
"3-n83g-2","2","Farfetch'd","ガラルのすがた"
"3-n90-1","1","シェルダー",""
"3-n90-2","2","Shellder",""
"3-n91-1","1","パルシェン",""
"3-n91-2","2","Cloyster",""
"3-n92-1","1","ゴース",""
"3-n92-2","2","Gastly",""
"3-n93-1","1","ゴースト",""
"3-n93-2","2","Haunter",""
"3-n94-1","1","ゲンガー",""
