"pokemonId","hp","attack","defense","spAttack","spDefense","speed"
"3-n1","45","49","49","65","65","45"
"3-n2","60","62","63","80","80","60"
"3-n3","80","82","83","100","100","80"
"3-n4","39","52","43","60","50","65"
"3-n5","58","64","58","80","65","80"
"3-n6","78","84","78","109","85","100"
"3-n7","44","48","65","50","64","43"
"3-n8","59","63","80","65","80","58"
"3-n9","79","83","100","85","105","78"
"3-n10","45","30","35","20","20","45"
"3-n11","50","20","55","25","25","30"
"3-n12","60","45","50","90","80","70"
"3-n25","35","55","40","50","50","90"
"3-n26","60","90","55","90","80","110"
"3-n26a","60","85","50","95","85","110"
"3-n27","50","75","85","20","30","40"
"3-n27a","50","75","90","10","35","40"
"3-n28","75","100","110","45","55","65"
"3-n28a","75","100","120","25","65","65"
"3-n29","55","47","52","40","40","41"
"3-n30","70","62","67","55","55","56"
"3-n31","90","92","87","75","85","76"
"3-n32","46","57","40","40","40","50"
"3-n33","61","72","57","55","55","65"
"3-n34","81","102","77","85","75","85"
"3-n35","70","45","48","60","65","35"
"3-n36","95","70","73","95","90","60"
"3-n37","38","41","40","50","65","65"
"3-n37a","38","41","40","50","65","65"
"3-n38","73","76","75","81","100","100"
"3-n38a","73","67","75","81","100","109"
"3-n39","115","45","20","45","25","20"
"3-n40","140","70","45","85","50","45"
"3-n41","40","45","35","30","40","55"
"3-n42","75","80","70","65","75","90"
"3-n43","45","50","55","75","65","30"
"3-n44","60","65","70","85","75","40"
"3-n45","75","80","85","110","90","50"
"3-n50","10","55","25","35","45","95"
"3-n50a","10","55","30","35","45","90"
"3-n51","35","100","50","50","70","120"
"3-n51a","35","100","60","50","70","110"
"3-n52","40","45","35","40","40","90"
"3-n52a","40","35","35","50","40","90"
"3-n52g","50","65","55","40","40","40"
"3-n53","65","70","60","65","65","115"
"3-n53a","65","60","60","75","65","115"
"3-n54","50","52","48","65","50","55"
"3-n55","80","82","78","95","80","85"
"3-n58","55","70","45","70","50","60"
"3-n59","90","110","80","100","80","95"
"3-n60","40","50","40","40","40","90"
"3-n61","65","65","65","50","50","90"
"3-n62","90","95","95","70","90","70"
"3-n63","25","20","15","105","55","90"
"3-n64","40","35","30","120","70","105"
"3-n65","55","50","45","135","95","120"
"3-n66","70","80","50","35","35","35"
"3-n67","80","100","70","50","60","45"
"3-n68","90","130","80","65","85","55"
"3-n72","40","40","35","50","100","70"
"3-n73","80","70","65","80","120","100"
"3-n77","50","85","55","65","65","90"
"3-n77g","50","85","55","65","65","90"
"3-n78","65","100","70","80","80","105"
"3-n78g","65","100","70","80","80","105"
"3-n79","90","65","65","40","40","15"
"3-n79g","90","65","65","40","40","15"
"3-n80","95","75","110","100","80","30"
"3-n80g","95","100","95","100","70","30"
"3-n81","25","35","70","95","55","45"
"3-n82","50","60","95","120","70","70"
"3-n83","52","90","55","58","62","60"
"3-n83g","52","95","55","58","62","55"
"3-n90","30","65","100","45","25","40"
"3-n91","50","95","180","85","45","70"
"3-n92","30","35","30","100","35","80"
"3-n93","45","50","45","115","55","95"
"3-n94","60","65","60","130","75","110"
"3-n95","35","45","160","30","45","70"
"3-n98","30","105","90","25","25","50"
"3-n99","55","130","115","50","50","75"
"3-n102","60","40","80","60","45","40"
"3-n103","95","95","85","125","75","55"
"3-n103a","95","105","85","125","75","45"
"3-n104","50","50","95","40","50","35"
"3-n105","60","80","110","50","80","45"
"3-n105a","60","80","110","50","80","45"
"3-n106","50","120","53","35","110","87"
"3-n107","50","105","79","35","110","76"
"3-n108","90","55","75","60","75","30"
"3-n109","40","65","95","60","45","35"
"3-n110","65","90","120","85","70","60"
"3-n110g","65","90","120","85","70","60"
"3-n111","80","85","95","30","30","25"
"3-n112","105","130","120","45","45","40"
"3-n113","250","5","5","35","105","50"
"3-n114","65","55","115","100","40","60"
"3-n115","105","95","80","40","80","90"
"3-n116","30","40","70","70","25","60"
"3-n117","55","65","95","95","45","85"
"3-n118","45","67","60","35","50","63"
"3-n119","80","92","65","65","80","68"
"3-n120","30","45","55","70","55","85"
"3-n121","60","75","85","100","85","115"
"3-n122","40","45","65","100","120","90"
"3-n122g","50","65","65","90","90","100"
"3-n123","70","110","80","55","80","105"
"3-n124","65","50","35","115","95","95"
"3-n125","65","83","57","95","85","105"
"3-n126","65","95","57","100","85","93"
"3-n127","65","125","100","55","70","85"
"3-n128","75","100","95","40","70","110"
"3-n129","20","10","55","15","20","80"
"3-n130","95","125","79","60","100","81"
"3-n131","130","85","80","85","95","60"
"3-n132","48","48","48","48","48","48"
"3-n133","55","55","50","45","65","55"
"3-n134","130","65","60","110","95","65"
"3-n135","65","65","60","110","95","130"
"3-n136","65","130","60","95","110","65"
"3-n137","65","60","70","85","75","40"
"3-n138","35","40","100","90","55","35"
"3-n139","70","60","125","115","70","55"
"3-n140","30","80","90","55","45","55"
"3-n141","60","115","105","65","70","80"
"3-n142","80","105","65","60","75","130"
"3-n143","160","110","65","65","110","30"
"3-n144","90","85","100","95","125","85"
"3-n144g","90","85","85","125","100","95"
"3-n145","90","90","85","125","90","100"
"3-n145g","90","125","90","85","90","100"
"3-n146","90","100","90","125","85","90"
"3-n146g","90","85","90","100","125","90"
"3-n147","41","64","45","50","50","50"
"3-n148","61","84","65","70","70","70"
"3-n149","91","134","95","100","100","80"
"3-n150","106","110","90","154","90","130"
"3-n151","100","100","100","100","100","100"
"3-n163","60","30","30","36","56","50"
"3-n164","100","50","50","86","96","70"
"3-n169","85","90","80","70","80","130"
"3-n170","75","38","38","56","56","67"
"3-n171","125","58","58","76","76","67"
"3-n172","20","40","15","35","35","60"
"3-n173","50","25","28","45","55","15"
"3-n174","90","30","15","40","20","15"
"3-n175","35","20","65","40","65","20"
"3-n176","55","40","85","80","105","40"
"3-n177","40","50","45","70","45","70"
"3-n178","65","75","70","95","70","95"
"3-n182","75","80","95","90","100","50"
"3-n183","70","20","50","20","50","40"
"3-n184","100","50","80","60","80","50"
"3-n185","70","100","115","30","65","30"
"3-n186","90","75","75","90","100","70"
"3-n194","55","45","45","25","25","15"
"3-n195","95","85","85","65","65","35"
"3-n196","65","65","60","130","95","110"
"3-n197","95","65","110","60","130","65"
"3-n199","95","75","80","100","110","30"
"3-n199g","95","65","80","110","110","30"
"3-n202","190","33","58","33","58","33"
"3-n206","100","70","70","65","65","45"
"3-n208","75","85","200","55","65","30"
