"id","no","height","weight","order","isDefault"
"3-n1","001","0.7","6.9","1","true"
"3-n2","002","1.0","13.0","1","true"
"3-n3","003","2.0","100.0","1","true"
"3-n4","004","0.6","8.5","1","true"
"3-n5","005","1.1","19.0","1","true"
"3-n6","006","1.7","90.5","1","true"
"3-n7","007","0.5","9.0","1","true"
"3-n8","008","1.0","22.5","1","true"
"3-n9","009","1.6","85.5","1","true"
"3-n10","010","0.3","2.9","1","true"
"3-n11","011","0.7","9.9","1","true"
"3-n12","012","1.1","32.0","1","true"
"3-n25","025","0.4","6.0","1","true"
"3-n26","026","0.8","30.0","1","true"
"3-n26a","026","0.7","21.0","2","false"
"3-n27","027","0.6","12.0","1","true"
"3-n27a","027","0.7","40.0","2","false"
"3-n28","028","1.0","29.5","1","true"
"3-n28a","028","1.2","55.0","2","false"
"3-n29","029","0.4","7.0","1","true"
"3-n30","030","0.8","20.0","1","true"
"3-n31","031","1.3","60.0","1","true"
"3-n32","032","0.5","9.0","1","true"
"3-n33","033","0.9","19.5","1","true"
"3-n34","034","1.4","62.0","1","true"
"3-n35","035","0.6","7.5","1","true"
"3-n36","036","1.3","40.0","1","true"
"3-n37","037","0.6","9.9","1","true"
"3-n37a","037","0.6","9.9","2","false"
"3-n38","038","1.1","19.9","1","true"
"3-n38a","038","1.1","19.9","2","false"
"3-n39","039","0.5","5.5","1","true"
"3-n40","040","1.0","12.0","1","true"
"3-n41","041","0.8","7.5","1","true"
"3-n42","042","1.6","55.0","1","true"
"3-n43","043","0.5","5.4","1","true"
"3-n44","044","0.8","8.6","1","true"
"3-n45","045","1.2","18.6","1","true"
"3-n50","050","0.2","0.8","1","true"
"3-n50a","050","0.2","1.0","2","false"
"3-n51","051","0.7","33.3","1","true"
"3-n51a","051","0.7","66.6","2","false"
"3-n52","052","0.4","4.2","1","true"
"3-n52a","052","0.4","4.2","2","false"
"3-n52g","052","0.4","7.5","3","false"
"3-n53","053","1.0","32.0","1","true"
"3-n53a","053","1.1","33.0","2","false"
"3-n54","054","0.8","19.6","1","true"
"3-n55","055","1.7","76.6","1","true"
"3-n58","058","0.7","19.0","1","true"
"3-n59","059","1.9","155.0","1","true"
"3-n60","060","0.6","12.4","1","true"
"3-n61","061","1.0","20.0","1","true"
"3-n62","062","1.3","54.0","1","true"
"3-n63","063","0.9","19.5","1","true"
"3-n64","064","1.3","56.5","1","true"
"3-n65","065","1.5","48.0","1","true"
"3-n66","066","0.8","19.5","1","true"
"3-n67","067","1.5","70.5","1","true"
"3-n68","068","1.6","130.0","1","true"
"3-n72","072","0.9","45.5","1","true"
"3-n73","073","1.6","55.0","1","true"
"3-n77","077","1.0","30.0","1","true"
"3-n77g","077","0.8","24.0","2","false"
"3-n78","078","1.7","95.0","1","true"
"3-n78g","078","1.7","80.0","2","false"
"3-n79","079","1.2","36.0","1","true"
"3-n79g","079","1.2","36.0","2","false"
"3-n80","080","1.6","78.5","1","true"
"3-n80g","080","1.6","70.5","2","false"
"3-n81","081","0.3","6.0","1","true"
"3-n82","082","1.0","60.0","1","true"
"3-n83","083","0.8","15.0","1","true"
"3-n83g","083","0.8","42.0","2","false"
"3-n90","090","0.3","4.0","1","true"
"3-n91","091","1.5","132.5","1","true"
"3-n92","092","1.3","0.1","1","true"
"3-n93","093","1.6","0.1","1","true"
"3-n94","094","1.5","40.5","1","true"
"3-n95","095","8.8","210.0","1","true"
"3-n98","098","0.4","6.5","1","true"
"3-n99","099","1.3","60.0","1","true"
"3-n102","102","0.4","2.5","1","true"
"3-n103","103","2.0","120.0","1","true"
"3-n103a","103","10.9","415.6","2","false"
"3-n104","104","0.4","6.5","1","true"
"3-n105","105","1.0","45.0","1","true"
"3-n105a","105","1.0","34.0","2","false"
"3-n106","106","1.5","49.8","1","true"
"3-n107","107","1.4","50.2","1","true"
"3-n108","108","1.2","65.5","1","true"
"3-n109","109","0.6","1.0","1","true"
"3-n110","110","1.2","9.5","1","true"
"3-n110g","110","3.0","16.0","2","false"
